	734.6	OPEN LONG	none	muted
2026-05-24T08:32:32.404Z	752.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:32:32.404Z	752.TP1	TICK-PAIR CLOSE	0.9760 → tick 0.9760	info
2026-05-24T08:32:32.405Z	752.TP2	OSC 1/6	P1a=0.9760 — waiting for P1b	muted
2026-05-24T08:32:32.405Z	752.9	OSC COUNTER	0/3 · step=2/6 P1a=0.9760	muted
2026-05-24T08:32:32.406Z	752.10	WAITING FOR BAND	A-B-A-B-A-B · step 2/6 · counter=0/3	muted
2026-05-24T08:32:32.408Z	752.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:32:52.412Z	753.1	POLL START	fetching 4 candles	muted
2026-05-24T08:32:52.980Z	753.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:32:52.981Z	753.3	LAST CLOSE	0.9760	info
2026-05-24T08:32:52.982Z	753.4	TICK SIZE	0.001000	info
2026-05-24T08:32:52.983Z	753.5	inOsc / dir	false / LONG	muted
2026-05-24T08:32:52.983Z	753.6	OPEN LONG	none	muted
2026-05-24T08:32:52.984Z	753.7	OPEN SHORT	none	muted
2026-05-24T08:32:52.984Z	753.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:32:52.985Z	753.TP1	TICK-PAIR CLOSE	0.9760 → tick 0.9760	info
2026-05-24T08:32:52.985Z	753.TP2	OSC 1/6	P1a=0.9760 (re-anchor) — waiting for P1b	muted
2026-05-24T08:32:52.986Z	753.9	OSC COUNTER	0/3 · step=2/6 P1a=0.9760	muted
2026-05-24T08:32:52.986Z	753.10	WAITING FOR BAND	A-B-A-B-A-B · step 2/6 · counter=0/3	muted
2026-05-24T08:32:52.989Z	753.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:33:12.993Z	754.1	POLL START	fetching 4 candles	muted
2026-05-24T08:33:13.568Z	754.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:33:13.569Z	754.3	LAST CLOSE	0.9770	info
2026-05-24T08:33:13.570Z	754.4	TICK SIZE	0.001000	info
2026-05-24T08:33:13.571Z	754.5	inOsc / dir	false / LONG	muted
2026-05-24T08:33:13.571Z	754.6	OPEN LONG	none	muted
2026-05-24T08:33:13.572Z	754.7	OPEN SHORT	none	muted
2026-05-24T08:33:13.572Z	754.8	CANDLE	NEW — processing tick-pair	ok
2026-05-24T08:33:13.573Z	754.TP1	TICK-PAIR CLOSE	0.9770 → tick 0.9770	info
2026-05-24T08:33:13.574Z	754.TP2	OSC 2/6	P1a=0.9760 P1b=0.9770 counter=1 — need c3=P1a	warn
2026-05-24T08:33:13.574Z	754.9	OSC COUNTER	1/3 · step=3/6 P1a=0.9760 P1b=0.9770	muted
2026-05-24T08:33:13.575Z	754.10	WAITING FOR BAND	A-B-A-B-A-B · step 3/6 · counter=1/3	muted
2026-05-24T08:33:13.577Z	754.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:33:33.581Z	755.1	POLL START	fetching 4 candles	muted
2026-05-24T08:33:34.147Z	755.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:33:34.149Z	755.3	LAST CLOSE	0.9760	info
2026-05-24T08:33:34.149Z	755.4	TICK SIZE	0.001000	info
2026-05-24T08:33:34.150Z	755.5	inOsc / dir	false / LONG	muted
2026-05-24T08:33:34.150Z	755.6	OPEN LONG	none	muted
2026-05-24T08:33:34.151Z	755.7	OPEN SHORT	none	muted
2026-05-24T08:33:34.151Z	755.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:33:34.152Z	755.TP1	TICK-PAIR CLOSE	0.9760 → tick 0.9760	info
2026-05-24T08:33:34.152Z	755.TP2	OSC 3/6	c3=P1a ✓ counter=2 — need c4=P1b	warn
2026-05-24T08:33:34.153Z	755.9	OSC COUNTER	2/3 · step=4/6 P1a=0.9760 P1b=0.9770	muted
2026-05-24T08:33:34.153Z	755.10	WAITING FOR BAND	A-B-A-B-A-B · step 4/6 · counter=2/3	muted
2026-05-24T08:33:34.157Z	755.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:33:54.160Z	756.1	POLL START	fetching 4 candles	muted
2026-05-24T08:33:54.729Z	756.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:33:54.730Z	756.3	LAST CLOSE	0.9760	info
2026-05-24T08:33:54.731Z	756.4	TICK SIZE	0.001000	info
2026-05-24T08:33:54.732Z	756.5	inOsc / dir	false / LONG	muted
2026-05-24T08:33:54.732Z	756.6	OPEN LONG	none	muted
2026-05-24T08:33:54.733Z	756.7	OPEN SHORT	none	muted
2026-05-24T08:33:54.733Z	756.8	CANDLE	LIVE — intra-poll checks only	muted
